x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
96.31;197.13;p;83.78;0.34;100.77;0.00;6.80;219.40
95.04;190.45;p;83.78;0.00;100.77;0.00;6.80;212.85
93.77;183.78;p;82.80;0.21;100.77;0.00;6.80;206.32
92.50;177.10;y;16.12;1.34;100.77;-48.74;0.00;199.80
92.50;177.10;p;79.80;0.80;52.03;0.00;6.51;199.80
96.50;171.97;y;15.35;1.36;52.03;46.62;0.00;197.20
96.50;171.97;p;72.42;0.01;98.65;0.00;5.87;197.20
95.62;166.17;p;72.03;0.86;98.65;0.00;5.87;191.71
94.74;160.36;y;8.30;0.00;98.65;-23.47;0.00;186.26
94.74;160.36;p;53.08;0.30;75.17;0.00;4.29;186.26
95.83;156.22;y;6.04;0.28;75.17;16.81;0.00;183.27
95.83;156.22;p;94.50;3.28;91.99;0.00;7.70;183.27
95.57;148.52;p;94.11;2.74;91.99;0.00;7.70;176.61
95.30;140.83;y;6.45;0.82;91.99;17.90;0.00;170.04
95.30;140.83;p;103.09;5.37;109.89;0.00;8.41;170.04
92.44;132.92;y;8.30;0.00;109.89;25.26;0.00;161.90
92.44;132.92;p;57.55;1.74;135.15;0.00;4.74;161.90
89.08;129.57;y;30.71;5.61;135.15;-95.48;0.00;157.24
89.08;129.57;p;96.93;1.92;39.67;0.00;7.99;157.24
95.23;124.48;y;13.37;0.00;39.67;40.33;0.00;156.72
95.23;124.48;p;115.73;7.13;79.99;0.00;9.47;156.72
96.87;115.15;y;3.30;0.00;79.99;9.20;0.00;150.47
96.87;115.15;p;98.63;0.74;89.19;0.00;8.05;150.47
96.98;107.10;y;34.39;4.72;89.19;105.83;0.00;144.49
96.98;107.10;p;106.00;0.00;-164.98;0.00;8.72;144.49
88.56;109.36;y;2.39;0.00;-164.98;4.55;0.00;140.72
88.56;109.36;p;64.94;0.49;-160.44;0.00;5.28;140.72
83.58;111.13;p;64.86;0.42;-160.44;0.00;5.28;139.05
78.60;112.90;y;26.68;3.75;-160.44;-81.40;0.00;137.57
78.60;112.90;p;66.07;0.45;118.17;0.00;5.40;137.57
76.05;108.14;p;66.05;2.53;118.17;0.00;5.40;132.20
73.50;103.38;y;36.76;0.08;118.17;113.76;0.00;126.84
73.50;103.38;p;105.50;0.30;-128.08;0.00;8.65;126.84
68.16;110.19;y;26.38;0.19;-128.08;-82.40;0.00;129.57
68.16;110.19;p;82.10;0.97;149.52;0.00;6.68;129.57
62.41;106.80;y;26.86;0.13;149.52;83.64;0.00;123.70
62.41;106.80;p;63.99;0.35;-126.84;0.00;5.22;123.70
59.28;110.97;p;64.04;0.51;-126.84;0.00;5.22;125.81
56.15;115.15;y;33.10;0.46;-126.84;-103.29;0.00;128.11
56.15;115.15;p;100.53;1.14;129.87;0.00;8.24;128.11
50.87;108.82;y;2.68;0.04;129.87;-6.50;0.00;120.12
50.87;108.82;p;78.65;0.35;123.37;0.00;6.41;120.12
47.34;103.47;y;46.29;0.26;123.37;143.65;0.00;113.78
47.34;103.47;p;121.30;0.33;-92.98;0.00;9.87;113.78
46.83;113.33;p;120.75;0.00;-92.98;0.00;9.87;122.62
46.31;123.19;p;120.26;1.97;-92.98;0.00;9.87;131.61
45.80;133.05;y;43.85;1.13;-92.98;-136.63;0.00;140.71
45.80;133.05;p;81.38;0.29;130.39;0.00;6.67;140.71
41.48;127.97;p;81.34;1.10;130.39;0.00;6.67;134.53
37.16;122.90;y;1.75;0.00;130.39;3.17;0.00;128.39
37.16;122.90;p;61.87;0.29;133.56;0.00;5.03;128.39
33.70;119.25;y;36.83;0.60;133.56;114.29;0.00;123.92
33.70;119.25;p;65.66;0.00;-112.14;0.00;5.36;123.92
31.68;124.22;p;66.60;3.57;-112.14;0.00;5.36;128.19
29.65;129.18;y;9.32;0.41;-112.14;28.38;0.00;132.54
29.65;129.18;p;75.55;2.77;-83.77;0.00;6.20;132.54
30.33;135.34;y;0.01;0.00;-83.77;-0.00;0.00;138.70
30.33;135.34;p;76.51;1.56;-83.77;0.00;6.19;138.70
31.00;141.50;y;5.35;0.06;-83.77;13.67;0.00;144.86
31.00;141.50;p;110.75;1.06;-70.09;0.00;9.01;144.86
34.07;149.97;y;6.96;0.52;-70.09;21.18;0.00;153.79
34.07;149.97;p;102.40;4.05;-48.91;0.00;8.42;153.79
39.60;156.31;y;14.93;1.35;-48.91;44.88;0.00;161.25
39.60;156.31;p;94.22;0.78;-4.03;0.00;7.69;161.25
47.27;156.86;y;5.89;0.00;-4.03;-15.67;0.00;163.82
47.27;156.86;p;75.93;0.14;-19.70;0.00;6.21;163.82
53.11;158.95;p;76.34;4.44;-19.70;0.00;6.21;167.59
58.96;161.04;y;45.56;1.23;-19.70;140.90;0.00;171.49
58.96;161.04;p;78.73;0.28;121.21;0.00;6.47;171.49
55.61;155.51;y;12.45;0.00;121.21;-37.41;0.00;165.15
55.61;155.51;p;70.38;0.13;83.80;0.00;5.74;165.15
56.23;149.80;p;70.74;0.58;83.80;0.00;5.74;160.01
56.85;144.10;y;25.92;0.12;83.80;-78.54;0.00;154.91
56.85;144.10;p;64.72;0.00;5.26;0.00;5.22;154.91
62.05;143.62;y;27.28;0.98;5.26;82.96;0.00;156.45
62.05;143.62;p;116.28;0.90;88.22;0.00;9.49;156.45
62.35;134.13;y;12.42;1.14;88.22;-36.84;0.00;147.91
62.35;134.13;p;72.41;0.13;51.38;0.00;5.97;147.91
66.07;129.47;p;73.48;0.17;51.38;0.00;5.97;145.35
69.80;124.80;y;5.67;0.00;51.38;-16.41;0.00;142.99
69.80;124.80;p;91.01;2.32;34.98;0.00;7.41;142.99
75.88;120.55;y;21.20;0.07;34.98;-64.96;0.00;142.44
75.88;120.55;p;69.34;0.37;-29.99;0.00;5.68;142.44
80.79;123.39;y;26.05;1.13;-29.99;-80.37;0.00;147.49
80.79;123.39;p;87.33;0.57;-110.36;0.00;7.14;147.49
78.31;130.08;p;88.02;1.48;-110.36;0.00;7.14;151.83
75.82;136.77;y;3.14;0.00;-110.36;7.18;0.00;156.39
75.82;136.77;p;113.76;5.52;-103.18;0.00;9.32;156.39
73.70;145.85;y;9.34;0.01;-103.18;-26.41;0.00;163.41
73.70;145.85;p;92.65;2.38;-129.59;0.00;7.56;163.41
68.88;151.68;y;41.79;1.18;-129.59;128.37;0.00;166.59
68.88;151.68;p;64.19;0.86;-1.22;0.00;5.21;166.59
74.09;151.79;p;63.93;0.05;-1.22;0.00;5.21;168.91
79.29;151.90;y;1.79;0.05;-1.22;3.26;0.00;171.35
79.29;151.90;p;69.70;0.32;2.04;0.00;5.72;171.35
85.01;151.70;y;29.78;0.85;2.04;-91.91;0.00;173.89
85.01;151.70;p;98.61;0.00;-89.87;0.00;8.07;173.89
85.03;159.76;p;99.22;0.54;-89.87;0.00;8.07;180.98
85.05;167.83;p;98.62;1.39;-89.87;0.00;8.07;188.15
